,idSucursal,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
1222,32,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Chilavert 6570,-34.6871711,-58.47698570000001,32 - Villa Riachuelo,Autoservicio
1223,320,15,1,Supermercados Dia,Dia Argentina S.A,Ar-E,Nogoya,Cl  Caseros 1200,-32.397116,-59.792151,320 - Nogoya,Autoservicio
1224,321,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Charcas 2725,-34.5945934,-58.4053499,321 - Recoleta,Autoservicio
1225,322,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Diaz Velez 4458,-34.608740399999995,-58.4299219,322 - Almagro,Autoservicio
1226,323,15,1,Supermercados Dia,Dia Argentina S.A,Ar-E,Victoria,Cl 9 De Julio Y Peron 150,-32.6220245,-60.15707020000001,323 - Victoria,Autoservicio
1227,324,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Amenabar 2369,-34.5606253,-58.4607081,324 - Belgrano,Autoservicio
1228,325,15,1,Supermercados Dia,Dia Argentina S.A,Ar-E,Rosario Del Tala,Cl Ramirez 21,-32.301798,-59.138836,325 - Rosario Del Tala,Autoservicio
1229,326,15,1,Supermercados Dia,Dia Argentina S.A,Ar-E,Villa San Jose,Cl Sarmiento 1665,-32.214761100000004,-58.2220274,326 - Villa San Jose,Autoservicio
1230,327,15,1,Supermercados Dia,Dia Argentina S.A,Ar-E,Villa Elisa,Cl J.J. Castelli 1444,-32.160073,-58.402913,327 - Villa Elisa,Autoservicio
1231,33,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Suarez 495,-34.635873100000005,-58.3603133,33 - La Boca,Autoservicio
1232,336,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Esquiu 1001,-34.651709000000004,-58.41803,336 - Pompeya,Autoservicio
